Main.food.description	X261	X262	X1571	X1572	X3241	X3242	X16971	X16972	X23381	X30341	X30671	X30672	X30791	X30792	X32061	X32062	X32831	X32981	X33191	X33192	X33982	X34491	X51271	X51272	X51722	X52131	X52471	X52472	X53002	X53821	X53822	X53861	X53862	X54551	X54552	X54631	X58961	X58962	X59471	X59472	X60461	X60462	X60511	X60512	X65442	X66761	X66762	X92291	X92292	X93962	X94531	X94532	X95501	X95502	X95672	FoodCode	ModCode	Old.Main.food.description	FoodID
SugarPuffType	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57243000	0	SugarPuffType	57243000.0
SultanaBran	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57329000	0	SultanaBran	57329000.0
Sweetcorn	0.5	3	0.5	1	1	1	0.5	0.5	0.5	1	0	0.5	0	0	0.5	0	0	3	3	3	3	0.5	3	3	0.5	0	0	0.5	0	1	0	3	0	1	0.5	0	0	3	1	1	0.5	0.5	1	0.5	0.5	0	0	0.5	0	1	3	0.5	1	0	0	75109600	0	Sweetcorn	75109600.0
SweetPeppers	0.5	3	1	0	1	0.5	0.5	3	0	0	0.5	0.5	1	0.5	1	1	3	3	0.5	1	1	0.5	1	1	7	0.5	3	0	0.5	1	0	1	0	0.5	0	7	7	0	0	0	1	3	1	0.5	0	3	3	1	1	5.5	3	0	0.5	0.5	0.5	75122100	0	SweetPeppers	75122100.0
SweetsToffees	1	0.5	0	3	0	0.5	0.5	3	1	0	0.5	0.5	0	7	0	0	0.5	1	0	0	0	0.5	0.5	0	0	0	0	0	0.5	0	5.5	0.5	0	0.5	0	0	0	3	0.5	1	0.5	0	1	0.5	0	0	0	0.5	0	0	0	0.5	0.5	0	0	91760000	0	SweetsToffees	91760000.0
Tea	7	32	7	3	18	18	18	42	18	18	18	32	32	18	32	32	32	42	18	32	0	32	0	0	0	32	18	18	32	18	18	42	0	32	18	32	3	32	18	18	18	42	32	7	7	0	18	18	0.5	0	7	18	18	18	32	92302000	0	Tea	92302000.0
TinnedFruit	0.5	0	0.5	0	0	0	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0	1	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	63311110	0	TinnedFruit	63311110.0
Tofu	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	3	3	0	0	0	7	0	0	0	0	41420010	0	Tofu	41420010.0
Tomatoes	3	5.5	3	3	3	7	3	3	0.5	1	3	3	3	3	5.5	3	7	3	3	5.5	5.5	3	3	5.5	0.5	3	5.5	5.5	7	0	3	3	7	0	0	5.5	7	1	1	1	0	1	5.5	0.5	0.5	18	5.5	3	5.5	18	1	0.5	3	0.5	1	74101000	0	Tomatoes	74101000.0
TomatoKetchup	0	0.5	0.5	3	0	0	0	1	0	0	3	0.5	0.5	3	1	0.5	0	1	0	3	3	1	0.5	1	0	0	3	0	0.5	0	0.5	0.5	0	0.5	0.5	0	0	1	0	0	0	0	0	0	0	0	0	1	0.5	3	1	0	0.5	0	0	74401010	0	TomatoKetchup	74401010.0
VegSoup	0	0.5	1	1	3	3	1	0	1	3	1	1	0.5	0	0.5	0.5	0.5	0.5	1	3	1	0	0	1	0	0	1	0.5	1	0.5	0.5	0.5	0	0.5	0	0.5	1	0.5	0.5	0.5	0	0.5	0.5	3	0.5	3	3	1	1	0.5	3	0	0.5	0	1	75649010	0	VegSoup	75649010.0
VLowFatSpread	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	5.5	0	0	0	0	0	0.5	0	0	0	0	1	0	0	0	81104100	0	VLowFatSpread	81104100.0
Watercress	0	0	0	0	0.5	0	0	0	0	1	0.5	0	3	0	0	0	0	0	0	3	5.5	0	3	3	0	0	0	1	3	0.5	3	0	0.5	7	0	0.5	0	0.5	0	1	0	0	0.5	0.5	0.5	1	5.5	1	0	1	0	0	0.5	0	0	72130100	0	Watercress	72130100.0
WeetabixType	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57410000	0	WeetabixType	57410000.0
WheatFlakes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57417000	0	WheatFlakes	57417000.0
WhiteBread	18	0	0.5	0	0.5	0.5	5.5	18	0.5	0	3	0.5	0	0.5	18	1	7	3	1	0	0	1	0	0.5	0	0	3	0.5	0.5	0	3	0	0.5	7	1	0	0.5	3	0	0	0.5	0	0	7	3	0	0	1	1	3	7	1	0.5	5.5	0	51101000	0	WhiteBread	51101000.0
Whitepasta	0.5	0	0.5	1	0.5	1	1	1	0	0	1	0.5	0.5	1	0.5	0.5	0.5	1	0	3	1	1	1	3	0	0	3	0.5	0.5	1	1	0	0	1	1	1	3	1	1	0	0.5	0.5	1	0.5	0.5	0	0	1	3	3	1	0	3	0.5	0.5	56130000	0	Whitepasta	56130000.0
WhiteRice	0	0	1	1	0.5	0	0.5	0.5	1	0	3	0.5	0	3	1	0.5	0	1	0.5	3	1	1	0	0	0	0.5	1	1	0.5	0.5	1	0.5	0.5	3	1	1	0	0.5	1	0.5	0	0	1	3	1	0	0.5	0.5	1	3	0	0	1	0.5	0	56205008	0	WhiteRice	56205008.0
WhiteWine	7	0	0	0	3	3	0.5	0.5	0	0.5	3	0	0.5	5.5	7	3	3	0	0	0	0	5.5	1	3	7	0	0	0	3	3	3	0	0	0.5	0	0.5	7	0	0	0	0	0	0.5	5.5	0	0	0.5	1	1	1	1	0	1	0	0.5	93401020	0	WhiteWine	93401020.0
WholemealBread	0.5	18	0.5	0	5.5	7	3	0.5	0.5	7	1	7	18	0	1	5.5	0	1	18	3	5.5	3	5.5	7	7	3	0.5	3	1	32	3	3	0.5	0	1	18	7	0	0	0	1	5.5	0.5	0.5	3	5.5	0.5	3	1	0.5	7	5.5	0.5	0	5.5	51201010	0	WholemealBread	51201010.0
WholemealPasta	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0.5	3	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.5	0	0	0	0	0	3	0	0	56132990	0	WholemealPasta	56132990.0
Wine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93401010	0	Wine	93401010.0
